game_number	player_bankrupt	turn
185	Charly	70
188	Charly	42
188	Alice	52
188	Hero	57
191	Hero	45
191	Alice	54
191	Bob	54
192	Alice	27
192	Bob	48
192	Hero	50
189	Hero	29
189	Bob	52
189	Charly	115
194	Alice	48
194	Charly	52
194	Bob	81
197	Bob	24
197	Charly	30
197	Hero	51
196	Charly	62
196	Bob	68
196	Alice	73
200	Alice	40
200	Hero	52
200	Charly	83
198	Bob	41
198	Charly	139
198	Alice	148
